customer_id,Recency,Frequency,Monetary,Cluster,DBSCAN_Label,Segment
CUST0001,1,14,22774.379999999997,2,0,Champions
CUST0002,2,16,28374.35,2,0,Champions
CUST0003,1,15,26290.57,2,0,Champions
CUST0004,2,15,27829.9,2,0,Champions
CUST0005,1,19,31102.28,2,0,Champions
CUST0006,4,9,16758.95,1,0,Loyal Customers
CUST0007,3,10,20068.96,1,0,Loyal Customers
CUST0008,1,19,40175.87,2,-1,Champions
CUST0009,1,15,32396.02,2,0,Champions
CUST0010,1,8,16419.66,1,0,Loyal Customers
CUST0011,1,17,26803.329999999998,2,0,Champions
CUST0012,1,19,33431.270000000004,2,0,Champions
CUST0013,1,13,23445.71,1,0,Loyal Customers
CUST0014,1,8,14926.56,1,0,Loyal Customers
CUST0015,2,9,14831.7,1,0,Loyal Customers
CUST0016,3,10,19166.4,1,0,Loyal Customers
CUST0017,4,16,33223.14,2,0,Champions
CUST0018,1,15,27999.73,2,0,Champions
CUST0019,1,10,19846.83,1,0,Loyal Customers
CUST0020,3,8,15316.28,1,0,Loyal Customers
CUST0021,1,18,34156.71,2,0,Champions
CUST0022,2,14,24607.78,2,0,Champions
CUST0023,2,14,30616.73,2,0,Champions
CUST0024,3,9,16978.32,1,0,Loyal Customers
CUST0025,6,10,17733.02,1,0,Loyal Customers
CUST0026,4,8,15890.25,1,0,Loyal Customers
CUST0027,1,18,27702.66,2,0,Champions
CUST0028,2,12,21997.52,1,0,Loyal Customers
CUST0029,1,19,33111.64,2,0,Champions
CUST0030,1,19,33568.409999999996,2,0,Champions
CUST0031,1,10,20759.75,1,0,Loyal Customers
CUST0032,2,11,20710.44,1,0,Loyal Customers
CUST0033,1,18,35309.31,2,0,Champions
CUST0034,1,11,20718.18,1,0,Loyal Customers
CUST0035,1,13,22182.97,1,0,Loyal Customers
CUST0036,2,17,30513.17,2,0,Champions
CUST0037,2,10,18601.05,1,0,Loyal Customers
CUST0038,2,17,29769.83,2,0,Champions
CUST0039,2,8,14101.93,1,0,Loyal Customers
CUST0040,4,17,32578.21,2,0,Champions
CUST0041,3,15,29072.8,2,0,Champions
CUST0042,3,9,18052.28,1,0,Loyal Customers
CUST0043,1,10,16099.77,1,0,Loyal Customers
CUST0044,4,8,16281.710000000001,1,0,Loyal Customers
CUST0045,3,14,25732.86,2,0,Champions
CUST0046,2,16,29441.44,2,0,Champions
CUST0047,1,18,31027.48,2,0,Champions
CUST0048,1,15,30504.82,2,0,Champions
CUST0049,2,14,27389.99,2,0,Champions
CUST0050,1,16,26715.1,2,0,Champions
CUST0051,1,16,28985.22,2,0,Champions
